iter	Passed	Remaining
0	142	142578
1	145	72566
2	148	49187
3	152	38037
4	155	30941
5	157	26161
6	160	22736
7	162	20166
8	165	18230
9	169	16774
10	171	15434
11	173	14316
12	176	13378
13	178	12571
14	183	12055
15	186	11444
16	189	10931
17	191	10455
18	194	10035
19	199	9781
20	204	9530
21	207	9205
22	209	8896
23	214	8710
24	218	8522
25	221	8296
26	224	8076
27	228	7939
28	233	7816
29	237	7678
30	241	7536
31	246	7447
32	250	7339
33	253	7197
34	256	7061
35	262	7025
36	265	6912
37	268	6790
38	270	6673
39	277	6657
40	281	6586
41	284	6484
42	287	6389
43	294	6400
44	297	6323
45	300	6237
46	304	6170
47	308	6128
48	311	6054
49	314	5976
50	317	5902
51	321	5855
52	325	5809
53	327	5745
54	330	5678
55	332	5611
56	336	5573
57	340	5525
58	342	5467
59	345	5407
60	347	5347
61	349	5292
62	353	5257
63	355	5206
64	358	5156
65	360	5103
66	362	5053
67	365	5003
68	368	4978
69	371	4935
70	373	4892
71	376	4847
72	378	4802
73	380	4760
74	383	4732
75	387	4707
76	389	4672
77	391	4632
78	394	4594
79	396	4555
80	399	4527
81	401	4496
82	404	4467
83	406	4434
84	408	4400
85	410	4367
86	413	4336
87	416	4319
88	418	4288
89	421	4258
90	423	4228
91	425	4198
92	427	4169
93	431	4156
94	433	4130
95	435	4103
96	437	4072
97	439	4047
98	441	4021
99	443	3995
100	447	3980
101	449	3956
102	452	3940
103	454	3916
104	456	3893
105	458	3871
106	461	3850
107	464	3834
108	466	3814
109	468	3792
110	470	3770
111	472	3749
112	475	3729
113	478	3720
114	481	3702
115	483	3683
116	485	3665
117	487	3647
118	490	3628
119	492	3609
120	495	3603
121	498	3586
122	500	3568
123	502	3550
124	504	3531
125	506	3513
126	508	3495
127	511	3484
128	514	3471
129	516	3457
130	518	3441
131	520	3425
132	522	3408
133	525	3396
134	527	3382
135	529	3366
136	531	3350
137	534	3335
138	536	3320
139	538	3305
140	540	3290
141	544	3287
142	546	3273
143	548	3258
144	550	3244
145	552	3229
146	554	3216
147	556	3202
148	559	3196
149	561	3183
150	563	3170
151	565	3156
152	567	3143
153	569	3131
154	573	3127
155	576	3118
156	579	3109
157	582	3101
158	584	3091
159	588	3087
160	591	3080
161	594	3075
162	597	3066
163	599	3057
164	602	3047
165	606	3048
166	609	3041
167	613	3040
168	616	3031
169	619	3026
170	623	3023
171	627	3018
172	629	3010
173	632	3003
174	636	3001
175	641	3005
176	644	2997
177	647	2990
178	650	2983
179	654	2983
180	658	2980
181	661	2972
182	664	2967
183	667	2959
184	671	2956
185	673	2948
186	676	2940
187	678	2931
188	682	2928
189	687	2930
190	690	2924
191	692	2915
192	695	2908
193	699	2904
194	703	2903
195	705	2895
196	708	2888
197	711	2880
198	713	2871
199	716	2866
200	719	2860
201	722	2854
202	725	2846
203	727	2838
204	729	2829
205	733	2825
206	735	2818
207	738	2811
208	740	2802
209	743	2797
210	746	2790
211	751	2792
212	754	2786
213	756	2779
214	759	2772
215	763	2769
216	767	2769
217	771	2767
218	774	2760
219	776	2753
220	780	2749
221	782	2742
222	786	2738
223	788	2732
224	791	2727
225	794	2722
226	798	2720
227	801	2713
228	803	2706
229	806	2698
230	808	2691
231	812	2689
232	816	2688
233	819	2682
234	821	2675
235	823	2667
236	826	2660
237	829	2656
238	832	2651
239	836	2650
240	839	2644
241	845	2646
242	847	2641
243	850	2634
244	852	2627
245	855	2620
246	858	2617
247	861	2613
248	864	2606
249	867	2601
250	869	2595
251	872	2588
252	875	2585
253	880	2585
254	883	2580
255	885	2573
256	887	2567
257	891	2564
258	894	2557
259	897	2554
260	900	2549
261	902	2542
262	905	2538
263	909	2534
264	911	2528
265	914	2523
266	916	2516
267	918	2509
268	924	2512
269	927	2508
270	930	2501
271	932	2495
272	934	2488
273	937	2483
274	940	2479
275	943	2475
276	947	2472
277	949	2466
278	952	2460
279	955	2457
280	958	2451
281	960	2446
282	965	2447
283	968	2441
284	972	2438
285	974	2432
286	976	2426
287	979	2421
288	983	2418
289	988	2419
290	991	2414
291	993	2408
292	995	2402
293	997	2396
294	1000	2391
295	1003	2387
296	1006	2381
297	1008	2376
298	1011	2370
299	1013	2364
300	1017	2363
301	1021	2361
302	1024	2356
303	1026	2350
304	1029	2344
305	1031	2339
306	1034	2335
307	1037	2330
308	1039	2325
309	1043	2323
310	1046	2318
311	1050	2315
312	1052	2310
313	1055	2305
314	1057	2300
315	1060	2295
316	1063	2290
317	1067	2288
318	1069	2283
319	1072	2278
320	1074	2272
321	1077	2267
322	1080	2265
323	1084	2261
324	1086	2256
325	1089	2251
326	1091	2246
327	1093	2240
328	1098	2239
329	1100	2235
330	1103	2229
331	1105	2223
332	1107	2217
333	1109	2212
334	1112	2208
335	1116	2205
336	1118	2200
337	1121	2195
338	1123	2190
339	1125	2184
340	1128	2181
341	1130	2175
342	1133	2170
343	1135	2165
344	1137	2160
345	1140	2155
346	1142	2149
347	1146	2147
348	1148	2142
349	1150	2137
350	1153	2131
351	1155	2126
352	1157	2121
353	1161	2119
354	1164	2115
355	1166	2110
356	1168	2104
357	1170	2099
358	1172	2093
359	1175	2088
360	1178	2086
361	1181	2081
362	1183	2076
363	1185	2071
364	1187	2066
365	1189	2060
366	1193	2058
367	1195	2053
368	1197	2048
369	1199	2042
370	1201	2037
371	1203	2032
372	1205	2026
373	1209	2024
374	1212	2020
375	1214	2015
376	1216	2010
377	1218	2005
378	1220	1999
379	1222	1995
380	1226	1991
381	1228	1986
382	1230	1981
383	1232	1976
384	1234	1971
385	1236	1966
386	1239	1962
387	1241	1958
388	1243	1952
389	1245	1948
390	1247	1943
391	1249	1938
392	1252	1933
393	1254	1929
394	1257	1925
395	1260	1921
396	1262	1917
397	1264	1913
398	1266	1908
399	1268	1902
400	1271	1899
401	1274	1895
402	1276	1890
403	1278	1885
404	1280	1881
405	1282	1876
406	1284	1872
407	1288	1869
408	1290	1865
409	1293	1861
410	1295	1856
411	1297	1852
412	1299	1847
413	1301	1842
414	1305	1839
415	1307	1835
416	1309	1831
417	1311	1826
418	1313	1821
419	1315	1817
420	1317	1812
421	1320	1808
422	1323	1805
423	1325	1800
424	1328	1796
425	1330	1792
426	1333	1789
427	1337	1786
428	1340	1783
429	1342	1779
430	1345	1775
431	1347	1771
432	1350	1767
433	1352	1763
434	1355	1760
435	1359	1759
436	1362	1755
437	1365	1752
438	1368	1748
439	1370	1744
440	1375	1743
441	1378	1740
442	1381	1737
443	1384	1734
444	1387	1730
445	1389	1726
446	1393	1723
447	1395	1719
448	1399	1716
449	1401	1712
450	1404	1709
451	1406	1705
452	1408	1701
453	1411	1697
454	1415	1695
455	1418	1692
456	1421	1688
457	1424	1685
458	1426	1681
459	1428	1676
460	1444	1688
461	1450	1688
462	1452	1684
463	1455	1681
464	1457	1677
465	1459	1672
466	1464	1671
467	1467	1668
468	1470	1665
469	1473	1661
470	1479	1661
471	1482	1658
472	1484	1654
473	1487	1651
474	1490	1647
475	1492	1642
476	1497	1641
477	1500	1638
478	1502	1634
479	1505	1630
480	1507	1627
481	1512	1625
482	1515	1622
483	1518	1618
484	1520	1614
485	1524	1611
486	1528	1610
487	1531	1606
488	1534	1603
489	1537	1599
490	1539	1596
491	1545	1595
492	1547	1591
493	1550	1587
494	1552	1583
495	1554	1579
496	1557	1575
497	1561	1573
498	1564	1570
499	1566	1566
500	1568	1562
501	1571	1558
502	1575	1556
503	1578	1553
504	1581	1549
505	1583	1545
506	1585	1541
507	1587	1537
508	1593	1537
509	1596	1533
510	1599	1530
511	1601	1526
512	1604	1522
513	1609	1521
514	1611	1518
515	1614	1514
516	1616	1510
517	1618	1506
518	1623	1504
519	1626	1501
520	1629	1498
521	1631	1494
522	1633	1490
523	1636	1486
524	1640	1484
525	1643	1480
526	1645	1477
527	1647	1473
528	1650	1469
529	1654	1467
530	1658	1464
531	1661	1461
532	1663	1457
533	1665	1453
534	1669	1451
535	1673	1448
536	1675	1445
537	1678	1441
538	1680	1437
539	1682	1433
540	1688	1432
541	1691	1429
542	1694	1425
543	1696	1421
544	1698	1418
545	1703	1416
546	1706	1413
547	1708	1409
548	1711	1405
549	1713	1401
550	1715	1397
551	1721	1396
552	1723	1393
553	1726	1389
554	1728	1385
555	1730	1381
556	1734	1379
557	1737	1376
558	1740	1372
559	1742	1369
560	1744	1365
561	1746	1361
562	1752	1360
563	1754	1356
564	1757	1353
565	1759	1349
566	1761	1345
567	1766	1343
568	1769	1339
569	1771	1336
570	1774	1332
571	1776	1329
572	1778	1325
573	1783	1323
574	1786	1320
575	1789	1316
576	1791	1313
577	1793	1309
578	1798	1307
579	1802	1304
580	1804	1301
581	1807	1298
582	1809	1294
583	1815	1293
584	1818	1290
585	1821	1286
586	1824	1283
587	1826	1279
588	1831	1278
589	1834	1274
590	1836	1271
591	1839	1267
592	1841	1264
593	1846	1262
594	1849	1258
595	1851	1255
596	1854	1251
597	1856	1248
598	1859	1244
599	1863	1242
600	1865	1238
601	1868	1235
602	1870	1231
603	1872	1227
604	1876	1225
605	1880	1222
606	1883	1219
607	1886	1216
608	1890	1214
609	1894	1211
610	1899	1209
611	1902	1206
612	1907	1204
613	1914	1203
614	1918	1201
615	1921	1197
616	1926	1195
617	1930	1193
618	1934	1190
619	1937	1187
620	1942	1185
621	1948	1184
622	1952	1181
623	1954	1177
624	1959	1175
625	1964	1173
626	1967	1170
627	1970	1167
628	1978	1167
629	1982	1164
630	1984	1160
631	1995	1161
632	1998	1158
633	2000	1155
634	2008	1154
635	2014	1152
636	2017	1149
637	2024	1148
638	2029	1146
639	2032	1143
640	2034	1139
641	2042	1138
642	2045	1135
643	2048	1132
644	2051	1128
645	2055	1126
646	2059	1123
647	2062	1120
648	2064	1116
649	2071	1115
650	2075	1112
651	2077	1108
652	2080	1105
653	2082	1101
654	2090	1100
655	2093	1097
656	2095	1094
657	2098	1090
658	2105	1089
659	2109	1086
660	2112	1083
661	2114	1079
662	2120	1078
663	2124	1074
664	2126	1071
665	2129	1068
666	2132	1064
667	2137	1062
668	2140	1059
669	2142	1055
670	2145	1052
671	2149	1049
672	2152	1046
673	2155	1042
674	2158	1039
675	2161	1035
676	2163	1032
677	2167	1029
678	2171	1026
679	2173	1022
680	2176	1019
681	2178	1015
682	2185	1014
683	2188	1010
684	2190	1007
685	2193	1004
686	2197	1001
687	2200	998
688	2203	994
689	2206	991
690	2209	988
691	2212	984
692	2215	981
693	2218	978
694	2221	974
695	2225	971
696	2228	968
697	2232	966
698	2236	962
699	2241	960
700	2246	958
701	2255	957
702	2262	955
703	2267	953
704	2272	951
705	2277	948
706	2281	945
707	2285	942
708	2289	939
709	2296	937
